area_code,geo,grid_size,country
6012,"POLYGON((29.4515902068052 69.2304549740204, 29.4843934645641 69.5171601405766, 28.665339598728 69.5268935263444, 28.6433360176462 69.2400421025568, 29.4515902068052 69.2304549740204))",32000,fin
20011,"POLYGON((20.6148558310205 63.3634823611978, 20.5505442766411 63.6488710128648, 19.9092530435654 63.6185375156564, 19.9798361291618 63.3335229524879, 20.6148558310205 63.3634823611978))",32000,fin
1031,"POLYGON((25.3639278713589 69.8142204215227, 25.3413329295989 70.1010539346972, 24.499673292994 70.0912634507828, 24.5337098954736 69.8045805078645, 25.3639278713589 69.8142204215227))",32000,fin
19032,"POLYGON((31.6043959174454 64.0076593835379, 31.6521623224739 64.2938855119687, 30.9926210726461 64.31338800439, 30.951579717299 64.0269159969125, 31.6043959174454 64.0076593835379))",32000,fin
31031,"POLYGON((21.186588098246 60.5071697997863, 21.134689681061 60.7929865257797, 20.5504952106291 60.7660914443242, 20.6074803231072 60.4805851478619, 21.186588098246 60.5071697997863))",32000,fin
34024,"POLYGON((29.9670466570897 60.8883982129603, 29.9939885980453 61.1753011039843, 29.3996012713668 61.1871440900483, 29.3779941491103 60.9001026850435, 29.9670466570897 60.8883982129603))",32000,fin
24011,"POLYGON((30.8722591582235 63.4538961485632, 30.9114690584848 63.740418590201, 30.2643264880161 63.7565368172763, 30.2315733225426 63.4698140092251, 30.8722591582235 63.4538961485632))",32000,fin
5014,"POLYGON((26.2263070211196 68.9591271773823, 26.2160994844326 69.2460811271178, 25.4072033670573 69.2405156765405, 25.4279359803392 68.9536444808977, 26.2263070211196 68.9591271773823))",32000,fin
3021,"POLYGON((20.5767460700339 69.1279277662921, 20.4914268164937 69.4130770416038, 19.6825189134541 69.3807449566933, 19.7782277216461 69.096076005099, 20.5767460700339 69.1279277662921))",32000,fin
31013,"POLYGON((21.134689681061 60.7929865257797, 21.0817107628551 61.0787641347457, 20.4923259724204 61.0515530858103, 20.5504952106291 60.7660914443242, 21.134689681061 60.7929865257797))",32000,fin
24012,"POLYGON((31.5120730996117 63.4351165395376, 31.5577110827644 63.7214028843918, 30.9114690584848 63.740418590201, 30.8722591582235 63.4538961485632, 31.5120730996117 63.4351165395376))",32000,fin
6013,"POLYGON((28.6219462560167 68.9531779466892, 28.6433360176462 69.2400421025568, 27.834468242562 69.2458442635186, 27.8236024168405 68.9588938366137, 28.6219462560167 68.9531779466892))",32000,fin
5011,"POLYGON((25.4072033670573 69.2405156765405, 25.3858757643699 69.5273743284017, 24.5667727293595 69.5178809455429, 24.598902012692 69.2311649523838, 25.4072033670573 69.2405156765405))",32000,fin
37024,"POLYGON((25.3088736734067 59.7609447498588, 25.294203898256 60.0481590441595, 24.7200840751866 60.039501785591, 24.7396822616108 59.7523864200741, 25.3088736734067 59.7609447498588))",32000,fin
4032,"POLYGON((23.0880855769307 68.6285331490582, 23.0373994780929 68.9148474466197, 22.2430338037321 68.8944925498102, 22.3037966989678 68.6084762231666, 23.0880855769307 68.6285331490582))",32000,fin
9014,"POLYGON((29.3005811916881 67.7966842579222, 29.32916180408 68.083470550677, 28.5612193761142 68.092509226605, 28.5420505927793 67.8055942556606, 29.3005811916881 67.7966842579222))",32000,fin
